Channel,Campaign,Destination Page,UTM Source,UTM Medium,UTM Campaign,UTM Term,UTM Content,Full URL,Description
Email,Insurance Services Newsletter,Insurance Services,email,newsletter,insurance-services-q1-2025,,,https://www.oceanvirtualassistant.com/services/insurance-customer-service-representative?utm_source=email&utm_medium=newsletter&utm_campaign=insurance-services-q1-2025,Newsletter highlighting Insurance VA services
Email,Special Pricing Promotion,Pricing Page,email,email-marketing,pricing-promo-feb-2025,,,https://www.oceanvirtualassistant.com/pricing?utm_source=email&utm_medium=email-marketing&utm_campaign=pricing-promo-feb-2025,Promotional campaign for special pricing
Email,Welcome Onboarding,Homepage,email,onboarding,welcome-new-clients,,,https://www.oceanvirtualassistant.com/?utm_source=email&utm_medium=onboarding&utm_campaign=welcome-new-clients,Welcome email series for new clients
Google Ads,Insurance VA Search,Insurance Industry,google,cpc,insurance-va-search,,,https://www.oceanvirtualassistant.com/insurance?utm_source=google&utm_medium=cpc&utm_campaign=insurance-va-search,Search campaign for "insurance virtual assistant"
Google Ads,Real Estate Display,Real Estate Industry,google,display,real-estate-remarketing,,,https://www.oceanvirtualassistant.com/industries/real-estate-virtual-assistant?utm_source=google&utm_medium=display&utm_campaign=real-estate-remarketing,Remarketing for Real Estate industry
Google Ads,YouTube Pricing Video,Pricing Page,google,video,youtube-pricing-2025,,,https://www.oceanvirtualassistant.com/pricing?utm_source=google&utm_medium=video&utm_campaign=youtube-pricing-2025,YouTube video campaign about pricing
LinkedIn,Marketing VA Content,Marketing Services,linkedin,social,marketing-va-content,,,https://www.oceanvirtualassistant.com/services/marketing-virtual-assistant?utm_source=linkedin&utm_medium=social&utm_campaign=marketing-va-content,Organic posts about Marketing VA
LinkedIn,Insurance B2B Ads,Insurance Industry,linkedin,paid,insurance-b2b-leads,,,https://www.oceanvirtualassistant.com/insurance?utm_source=linkedin&utm_medium=paid&utm_campaign=insurance-b2b-leads,B2B ad campaign for insurance agencies
LinkedIn,About Us Webinar,About Us,linkedin,webinar,webinar-about-us-mar-2025,,,https://www.oceanvirtualassistant.com/about-us?utm_source=linkedin&utm_medium=webinar&utm_campaign=webinar-about-us-mar-2025,Webinar promotion from About Us page
Facebook,Admin Assistant Ads,Admin Services,facebook,social,admin-assistant-feed,,,https://www.oceanvirtualassistant.com/services/virtual-administrative-assistant?utm_source=facebook&utm_medium=social&utm_campaign=admin-assistant-feed,Feed ads about Administrative Assistant
Facebook,Pricing Stories,Pricing Page,facebook,stories,pricing-stories-promo,,,https://www.oceanvirtualassistant.com/pricing?utm_source=facebook&utm_medium=stories&utm_campaign=pricing-stories-promo,Stories campaign promoting pricing
Facebook,Contact Retargeting,Contact Us,facebook,retargeting,contact-retargeting,,,https://www.oceanvirtualassistant.com/contact-us?utm_source=facebook&utm_medium=retargeting&utm_campaign=contact-retargeting,Retargeting for users who didn't contact
Instagram,Small Business Posts,Small Business Industry,instagram,social,small-business-posts,,,https://www.oceanvirtualassistant.com/industries/small-business-virtual-assistant?utm_source=instagram&utm_medium=social&utm_campaign=small-business-posts,Organic posts about Small Business VA
Instagram,Our VAs Reels,Our VAs Page,instagram,reels,our-vas-reels,,,https://www.oceanvirtualassistant.com/ovas-current-vas?utm_source=instagram&utm_medium=reels&utm_campaign=our-vas-reels,Reels promoting the VA team
Instagram,Blogs Stories Ads,Blogs Page,instagram,stories,blogs-stories-ads,,,https://www.oceanvirtualassistant.com/blogs?utm_source=instagram&utm_medium=stories&utm_campaign=blogs-stories-ads,Stories ads promoting blog content
